product_category,product_subcategory,brand,delivery_status,assembly_service_requested,payment_method,order_id,customer_id,product_price,shipping_cost,assembly_cost,total_amount,delivery_window_days,customer_rating,sales_amount
Outdoor,Patio Set,World Market,Failed Delivery,True,Credit Card,93810,2824,191.27,45.63,86.82,323.72,11,3.2,323.72
Living Room,Sofa,West Elm,Cancelled,True,Apple Pay,13278,5506,702.87,52.65,183.07,938.59,10,4.5,938.59
Dining Room,Bar Stool,Ashley Furniture,Delivered,False,Cash on Delivery,42098,4657,395.41,96.79,0.0,492.2,2,,492.2
Dining Room,China Cabinet,HomeGoods,Pending,False,Google Pay,28289,2679,602.59,0.0,0.0,602.59,9,,602.59
Dining Room,China Cabinet,CB2,Pending,True,Apple Pay,98696,9935,1782.36,69.23,41.53,1893.12,13,1.3,1893.12
Dining Room,Buffet,West Elm,Rescheduled,True,Bank Transfer,21395,7912,1307.8,,170.18,1565.0,11,3.4,1565.0
Bedroom,Mattress,IKEA,Delivered,True,Apple Pay,14165,1488,1467.44,0.0,184.29,1651.73,13,,1651.73
Dining Room,Dining Table,Urban Outfitters,Failed Delivery,False,Debit Card,22280,4582,500.87,137.64,0.0,638.51,4,2.6,638.51
Dining Room,Dining Chair,West Elm,Rescheduled,False,Apple Pay,40495,9279,568.59,76.27,0.0,644.86,10,1.9,644.86
Living Room,Sofa,Crate & Barrel,Delivered,True,Google Pay,88907,1434,2180.54,0.0,239.46,2420.0,7,5.0,2420.0
Living Room,Side Table,HomeGoods,In Transit,False,Apple Pay,83563,4257,1857.66,103.7,0.0,1961.36,13,1.4,1961.36
Living Room,Side Table,CB2,In Transit,True,PayPal,95181,9928,2214.46,0.0,46.76,2261.22,5,3.0,2261.22
Bedroom,Wardrobe,Target,Delivered,False,Debit Card,64987,4611,2867.47,141.85,0.0,3009.32,8,,3009.32
Living Room,Coffee Table,Crate & Barrel,In Transit,False,Debit Card,68878,5557,2219.42,58.57,0.0,2277.99,14,,2277.99
Outdoor,Lounge Chair,Overstock,In Transit,False,Bank Transfer,10851,3615,1712.3,,0.0,1712.3,4,4.0,1712.3
Dining Room,Buffet,IKEA,Rescheduled,False,Google Pay,65392,6574,1990.78,93.81,0.0,2084.59,2,1.3,2084.59
Bedroom,Wardrobe,CB2,Delivered,True,Bank Transfer,46421,3547,777.62,0.0,53.37,830.99,1,1.3,830.99
Office,Desk,CB2,Pending,False,Credit Card,38221,6514,845.71,138.24,0.0,983.95,4,4.2,983.95
Outdoor,Lounge Chair,CB2,In Transit,True,Debit Card,23396,2519,734.59,136.38,26.52,897.49,12,4.4,897.49
Kitchen,Pantry Cabinet,Crate & Barrel,Pending,False,Credit Card,59797,2584,608.4,0.0,0.0,608.4,4,1.3,608.4
Outdoor,Umbrella,IKEA,In Transit,True,Apple Pay,57052,6635,1529.45,142.64,70.32,1742.41,8,2.6,1742.41
Living Room,Armchair,Crate & Barrel,Cancelled,False,Bank Transfer,89131,5333,809.97,95.5,0.0,905.47,12,5.0,905.47
Office,Desk,Pottery Barn,Rescheduled,True,Cash on Delivery,15695,8527,349.65,41.33,43.7,434.6799999999999,1,,434.6799999999999
Kitchen,Bar Cart,World Market,In Transit,True,Google Pay,80284,3045,425.14,63.09,39.88,528.11,11,2.6,528.11
Kitchen,Kitchen Island,CB2,Delivered,False,Apple Pay,59615,2291,1662.64,108.37,0.0,1771.01,5,3.9,1771.01
Bedroom,Chest of Drawers,CB2,Rescheduled,True,PayPal,82357,5803,1989.68,142.9,36.46,2169.04,10,1.3,2169.04
Bedroom,Dresser,Urban Outfitters,Rescheduled,True,Credit Card,92397,6925,2660.46,86.95,275.06,3022.47,12,4.9,3022.47
Outdoor,Umbrella,Wayfair,Rescheduled,True,Debit Card,85674,4150,643.97,143.89,111.54,899.4,2,1.6,899.4
Outdoor,Outdoor Table,IKEA,Pending,False,Bank Transfer,19116,1750,485.94,72.57,0.0,558.51,9,4.6,558.51
Office,Bookshelf,,Pending,True,Credit Card,96673,4733,142.6,50.02,116.16,308.78,8,2.7,308.78
Outdoor,Garden Chair,IKEA,Delivered,True,Debit Card,47930,2307,1050.22,108.25,169.12,1327.59,5,4.7,1327.59
Outdoor,Garden Chair,CB2,In Transit,False,Cash on Delivery,40512,2654,1250.44,105.99,0.0,1356.43,10,4.7,1356.43
Bedroom,Nightstand,Overstock,In Transit,False,PayPal,59823,5554,220.64,80.24,0.0,300.88,13,4.2,300.88
Bedroom,Chest of Drawers,Target,Delivered,False,Cash on Delivery,69429,6977,458.07,90.41,0.0,548.48,4,4.7,548.48
Bedroom,Mattress,Wayfair,Delivered,False,Bank Transfer,31319,7065,217.44,39.48,0.0,256.92,5,4.9,256.92
